timestamp,local_time,sensor_2,sensor_4,bbox_x1,bbox_y1,bbox_x2,bbox_y2,mv_1,mv_2,mv_3,mv_4,left_eye_x,left_eye_y,right_eye_x,right_eye_y,nose_x,nose_y,mouth_left_x,mouth_left_y,mouth_right_x,mouth_right_y,fhp,prediction,notes,user_id,bad_posture_command,alarm_notification,notification_interval,feedback,model_threshold,model_notes,Unnamed: 0,Notes
2994189,2024-08-19 10:42:15,,,91.0,92.0,167.0,206.0,,,,,111.0,133.0,146.0,130.0,126.0,155.0,116.0,173.0,143.0,170.0,,,,-1,no,no,,,,,,
2994189,2024-08-19 10:42:15,,,91.0,92.0,167.0,206.0,,,,,111.0,133.0,146.0,130.0,126.0,155.0,116.0,173.0,143.0,170.0,,,,-1,no,no,,,,,,
2994199,2024-08-19 10:42:15,,,,,,,,,,,,,,,,,,,,,254.0,,,-1,no,no,,,,,,
2994269,2024-08-19 10:42:15,,,91.0,92.0,167.0,202.0,,,,,112.0,131.0,147.0,128.0,128.0,152.0,118.0,171.0,144.0,168.0,,,,-1,no,no,,,,,,
2994269,2024-08-19 10:42:15,,,91.0,92.0,167.0,202.0,,,,,112.0,131.0,147.0,128.0,128.0,152.0,118.0,171.0,144.0,168.0,,,,-1,no,no,,,,,,
2994299,2024-08-19 10:42:15,,,,,,,316.0,316.0,317.0,306.0,,,,,,,,,,,,,,-1,no,no,,,,,,
2994299,2024-08-19 10:42:15,,,,,,,316.0,316.0,317.0,306.0,,,,,,,,,,,,,,-1,no,no,,,,,,
2994309,2024-08-19 10:42:15,,,,,,,548.0,547.0,557.0,537.0,,,,,,,,,,,,,,-1,no,no,,,,,,
2994309,2024-08-19 10:42:15,,,,,,,548.0,547.0,557.0,537.0,,,,,,,,,,,,,,-1,no,no,,,,,,
2994309,2024-08-19 10:42:15,,,,,,,548.0,547.0,557.0,537.0,,,,,,,,,,,,,,-1,no,no,,,,,,
2994319,2024-08-19 10:42:15,314.0,547.0,,,,,,,,,,,,,,,,,,,,,,-1,no,no,,,72.5,Thresholds changed from nan to 72.5 at 2994319 local time.,,
2994329,2024-08-19 10:42:24,,,,,,,,,,,,,,,,,,,,,253.0,,,2,no,no,,,72.5,,,
2994349,2024-08-19 10:42:24,,,93.0,90.0,170.0,204.0,,,,,112.0,132.0,148.0,129.0,128.0,152.0,120.0,173.0,144.0,171.0,,,,2,no,no,,,72.5,,,
2994349,2024-08-19 10:42:24,,,93.0,90.0,170.0,204.0,,,,,112.0,132.0,148.0,129.0,128.0,152.0,120.0,173.0,144.0,171.0,,,,2,no,no,,,72.5,,,
2994399,2024-08-19 10:42:24,,,,,,,,,,,,,,,,,,,,,253.0,,,2,no,no,,,72.5,,,
2994429,2024-08-19 10:42:24,,,92.0,91.0,166.0,197.0,,,,,112.0,130.0,146.0,127.0,128.0,151.0,119.0,169.0,143.0,166.0,,,,2,no,no,,,72.5,,,
2994429,2024-08-19 10:42:24,,,92.0,91.0,166.0,197.0,,,,,112.0,130.0,146.0,127.0,128.0,151.0,119.0,169.0,143.0,166.0,,,,2,no,no,,,72.5,,,
2994499,2024-08-19 10:42:24,,,,,,,,,,,,,,,,,,,,,253.0,,,2,no,no,,,72.5,,,
2994509,2024-08-19 10:42:25,,,93.0,92.0,166.0,195.0,,,,,112.0,130.0,147.0,129.0,128.0,151.0,120.0,169.0,145.0,168.0,,,,2,no,yes,9.0,0.0,72.5,,,
2994509,2024-08-19 10:42:25,,,93.0,92.0,166.0,195.0,,,,,112.0,130.0,147.0,129.0,128.0,151.0,120.0,169.0,145.0,168.0,,,,2,no,yes,9.0,0.0,72.5,,,
2994799,2024-08-19 10:42:25,,,,,,,316.0,316.0,326.0,306.0,,,,,,,,,,,,,,2,no,yes,9.0,0.0,72.5,,,
2994799,2024-08-19 10:42:25,,,,,,,316.0,316.0,326.0,306.0,,,,,,,,,,,,,,2,no,yes,9.0,0.0,72.5,,,
2994809,2024-08-19 10:42:25,,,,,,,548.0,547.0,541.0,537.0,,,,,,,,,,,,,,2,no,yes,9.0,0.0,72.5,,,
2994809,2024-08-19 10:42:25,,,,,,,548.0,547.0,541.0,537.0,,,,,,,,,,,,,,2,no,yes,9.0,0.0,72.5,,,
2994809,2024-08-19 10:42:25,,,,,,,548.0,547.0,541.0,537.0,,,,,,,,,,,,,,2,no,yes,9.0,0.0,72.5,,,
2994819,2024-08-19 10:42:25,316.0,543.0,,,,,,,,,,,,,,,,,,,,0.0,,2,no,yes,9.0,0.0,72.5,,,
2995299,2024-08-19 10:42:25,,,,,,,316.0,316.0,326.0,308.0,,,,,,,,,,,,,,2,no,yes,9.0,0.0,72.5,,,
2995299,2024-08-19 10:42:25,,,,,,,316.0,316.0,326.0,308.0,,,,,,,,,,,,,,2,no,yes,9.0,0.0,72.5,,,
2995309,2024-08-19 10:42:25,,,,,,,548.0,547.0,541.0,551.0,,,,,,,,,,,,,,2,no,yes,9.0,0.0,72.5,,,
2995309,2024-08-19 10:42:25,,,,,,,548.0,547.0,541.0,551.0,,,,,,,,,,,,,,2,no,yes,9.0,0.0,72.5,,,
2995309,2024-08-19 10:42:25,,,,,,,548.0,547.0,541.0,551.0,,,,,,,,,,,,,,2,no,yes,9.0,0.0,72.5,,,
2995319,2024-08-19 10:42:25,317.0,547.0,,,,,,,,,,,,,,,,,,,,0.0,,2,no,yes,9.0,0.0,72.5,,,
2995709,2024-08-19 10:42:26,,,93.0,89.0,168.0,199.0,,,,,115.0,127.0,150.0,126.0,131.0,146.0,118.0,168.0,143.0,167.0,,,,2,no,yes,9.0,0.0,72.5,,,
2995709,2024-08-19 10:42:26,,,93.0,89.0,168.0,199.0,,,,,115.0,127.0,150.0,126.0,131.0,146.0,118.0,168.0,143.0,167.0,,,,2,no,yes,9.0,0.0,72.5,,,
2995799,2024-08-19 10:42:26,,,,,,,325.0,316.0,326.0,308.0,,,,,,,,,,,,,,2,no,yes,9.0,0.0,72.5,,,
2995799,2024-08-19 10:42:26,,,,,,,325.0,316.0,326.0,308.0,,,,,,,,,,,,,,2,no,yes,9.0,0.0,72.5,,,
2995809,2024-08-19 10:42:26,,,,,,,540.0,547.0,541.0,551.0,,,,,,,,,,,,,,2,no,yes,9.0,0.0,72.5,,,
2995809,2024-08-19 10:42:26,,,,,,,540.0,547.0,541.0,551.0,,,,,,,,,,,,,,2,no,yes,9.0,0.0,72.5,,,
2995809,2024-08-19 10:42:26,,,,,,,540.0,547.0,541.0,551.0,,,,,,,,,,,,,,2,no,yes,9.0,0.0,72.5,,,
